City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ostrovnoy,2,RU,72,68.05,39.51,37.5,7.16
1,mahebourg,75,MU,74,-20.41,57.7,78.8,11.41
2,qaanaaq,25,GL,73,77.48,-69.36,22.2,2.37
3,zhuhai,0,CN,39,40.71,112.04,44.6,4.47
4,cape town,20,ZA,76,-33.93,18.42,55.99,8.05
5,atuona,78,PF,76,-9.8,-139.03,81.96,16.49
6,flinders,0,AU,62,-34.58,150.85,60.01,11.41
7,opuwo,0,NA,23,-18.06,13.84,72.06,5.44
8,tiksi,95,RU,88,71.64,128.87,14.1,15.7
9,pushkinskiye gory,6,RU,70,57.02,28.91,65.04,6.93
10,aykhal,90,RU,48,65.95,111.51,39.2,11.18
11,castro,0,CL,70,-42.48,-73.76,48.2,9.17
12,avarua,100,CK,94,-21.21,-159.78,71.6,2.24
13,saskylakh,0,RU,91,71.97,114.09,4.92,2.26
14,constitucion,5,MX,4,23.99,-104.67,84.2,16.11
15,albany,40,US,45,42.65,-73.75,82.4,12.75
16,vilyuysk,16,RU,59,63.75,121.63,34.62,5.84
17,ushuaia,75,AR,75,-54.81,-68.31,44.6,36.91
18,bambous virieux,75,MU,74,-20.34,57.76,78.8,11.41
19,kodinsk,14,RU,81,58.6,99.18,48.84,4.97
20,teknaf,1,BD,85,20.86,92.31,84.66,8.23
21,busselton,84,AU,63,-33.64,115.35,55,12.86
22,ambon,11,FR,93,47.55,-2.56,64.99,5.82
23,maragogi,97,BR,69,-9.01,-35.22,83.94,9.42
24,fallon,90,US,53,46.84,-105.12,51.8,18.34
25,kantang,20,TH,94,7.42,99.52,78.8,6.93
26,colonelganj,0,IN,14,27.13,81.7,94.2,5.08
27,punta arenas,40,CL,61,-53.16,-70.91,50,46.08
28,rikitea,95,PF,76,-23.12,-134.97,74.58,12.82
29,new norfolk,40,AU,66,-42.78,147.06,57.99,5.82
30,gobabis,0,NA,24,-22.45,18.97,68,2.24
31,qingdao,0,CN,54,36.09,120.35,59,2.24
32,port hardy,90,CA,87,50.7,-127.42,53.6,5.82
33,arman,0,RU,64,59.7,150.17,31.56,5.3
34,mamakan,26,RU,90,57.82,114.02,31.38,2.82
35,bethel,20,US,71,60.79,-161.76,51.8,4.68
36,clinton,75,US,54,41.84,-90.19,55.4,10.29
37,varhaug,0,NO,63,58.61,5.65,64.99,8.05
38,ayan,76,TR,58,40.67,33.6,56.94,0.54
39,mayor pablo lagerenza,43,PY,33,-19.93,-60.77,91.86,14.9
40,hermanus,9,ZA,74,-34.42,19.24,55,23.78
41,torbay,75,CA,65,47.66,-52.73,48,24.16
42,yellowknife,75,CA,26,62.45,-114.38,55.4,8.05
43,kruisfontein,92,ZA,69,-34,24.73,55.68,16.53
44,puerto ayora,26,EC,86,-0.74,-90.35,79,5.99
45,rosita,72,NI,71,13.92,-84.4,84.12,4.41
46,beloha,100,MG,85,-25.17,45.06,70.08,10
47,port elizabeth,20,US,46,39.31,-74.98,93,12.75
48,port alfred,67,ZA,69,-33.59,26.89,61,8.01
49,garchitorena,59,PH,75,13.88,123.7,84.3,6.11
50,kodiak,1,US,63,39.95,-94.76,53.01,8.05
51,mar del plata,5,AR,33,-46.43,-67.52,50.1,18.52
52,taybad,78,IR,18,34.74,60.78,80.16,4.88
53,cabo san lucas,5,MX,34,22.89,-109.91,91,11.41
54,tiarei,20,PF,70,-17.53,-149.33,84.2,10.29
55,khatanga,10,RU,92,71.98,102.47,9.96,10.94
56,pisco,0,PE,30,-13.71,-76.2,75.99,11.41
57,kolyvan,0,RU,87,55.31,82.74,48.2,4.47
58,hofn,90,IS,81,64.25,-15.21,48.2,6.93
59,bontang,54,ID,99,0.12,117.47,74.22,2.62
60,sault sainte marie,1,CA,61,46.49,-84.36,50,14.99
61,zhigansk,97,RU,84,66.77,123.37,27.24,8.77
62,thompson,75,CA,35,55.74,-97.86,57.2,3.36
